org_id,realcode,total_amount,record_count,org_total_amount,org_total_records,share_amount,share_records
0103f8d4,C5120,778594.0,324,778594.0,324,1.0,1.0
0106e770,J5100,-7300.0,4,632606.0,223,-0.011539568072386288,0.017937219730941704
0106e770,K1000,639906.0,219,632606.0,223,1.0115395680723862,0.9820627802690582
01078af1,H1400,720980.0,1569,731380.0,1590,0.9857803057234269,0.9867924528301887
01078af1,J5100,9250.0,16,731380.0,1590,0.012647324236375072,0.010062893081761006
01078af1,J6200,600.0,2,731380.0,1590,0.0008203669774945993,0.0012578616352201257
01078af1,J7400,500.0,2,731380.0,1590,0.000683639147912166,0.0012578616352201257
01078af1,Z9600,50.0,1,731380.0,1590,6.836391479121661e-05,0.0006289308176100629
0108cd48,H1100,1500.0,3,1785881.0,13837,0.0008399215849208318,0.00021681000216810002
0108cd48,H1750,945.0,22,1785881.0,13837,0.0005291505985001241,0.0015899400158994003
0108cd48,J1200,525.0,48,1785881.0,13837,0.00029397255472229114,0.0034689600346896002
0108cd48,J5100,750.0,1,1785881.0,13837,0.0004199607924604159,7.22700007227e-05
0108cd48,J6100,129.0,9,1785881.0,13837,7.223325630319153e-05,0.0006504300065043
0108cd48,J7300,187.0,6,1785881.0,13837,0.00010471022425346369,0.00043362000433620003
0108cd48,J7400,13170.0,120,1785881.0,13837,0.007374511515604903,0.008672400086724001
0108cd48,J7500,704.0,99,1785881.0,13837,0.0003942031971895104,0.007154730071547301
0108cd48,J9000,30.0,8,1785881.0,13837,1.6798431698416636e-05,0.0005781600057816
0108cd48,JE300,168.0,12,1785881.0,13837,9.407121751113316e-05,0.0008672400086724001
0108cd48,X3000,1730494.0,13288,1785881.0,13837,0.9689861754506599,0.9603237696032377
0108cd48,X3100,4500.0,5,1785881.0,13837,0.0025197647547624954,0.00036135000361350004
0108cd48,X3200,28839.0,184,1785881.0,13837,0.016148332391687913,0.0132976801329768
0108cd48,Z9600,3940.0,32,1785881.0,13837,0.0022061940297253848,0.0023126400231264
010a0925,D2000,1450840.0,2723,1456415.0,2730,0.99617210753803,0.9974358974358974
010a0925,J6200,75.0,2,1456415.0,2730,5.149631114757813e-05,0.0007326007326007326
010a0925,T1300,3000.0,3,1456415.0,2730,0.0020598524459031252,0.001098901098901099
010a0925,Z9600,2500.0,2,1456415.0,2730,0.001716543704919271,0.0007326007326007326
010a14f7,E1500,505800.0,54,505800.0,54,1.0,1.0
010b8e22,G5290,1924140.0,976,1935190.0,981,0.9942899663598923,0.9949031600407747
010b8e22,Y4000,250.0,1,1935190.0,981,0.00012918628145040022,0.0010193679918450561
010b8e22,Z9600,10800.0,4,1935190.0,981,0.0055808473586572895,0.004077471967380225
010d3392,J1100,-1000.0,1,967397.0,360,-0.001033701779104132,0.002777777777777778
010d3392,T2300,973597.0,356,967397.0,360,1.0064089510304457,0.9888888888888889
010d3392,Z9600,-5200.0,3,967397.0,360,-0.005375249251341486,0.008333333333333333
011692d7,F1300,517657.0,382,517657.0,382,1.0,1.0
011dbd0d,F1100,500.0,2,2333918.0,2414,0.00021423203385894448,0.0008285004142502071
011dbd0d,F4600,2331418.0,2410,2333918.0,2414,0.9989288398307052,0.9983429991714996
011dbd0d,J7500,2000.0,2,2333918.0,2414,0.0008569281354357779,0.0008285004142502071
01225b7f,G5260,145079.0,378,604421.0,737,0.2400297143878191,0.5128900949796472
01225b7f,J1100,-153.0,333,604421.0,737,-0.0002531348182806355,0.451831750339213
01225b7f,Y4000,1364.0,15,604421.0,737,0.002256705177351548,0.0203527815468114
01225b7f,Z9600,458131.0,11,604421.0,737,0.75796671525311,0.014925373134328358
012a5ae8,Z1200,357000.0,313,358332.0,320,0.9962827768661465,0.978125
012a5ae8,Z9600,-1050.0,4,358332.0,320,-0.002930243461371019,0.0125
012a5ae8,Z9999,382.0,1,358332.0,320,0.0010660504783273613,0.003125
012a5ae8,z9600,2000.0,2,358332.0,320,0.005581416116897179,0.00625
012b5675,J1200,639600.0,100,13739409.0,319,0.0465522206959557,0.31347962382445144
012b5675,X4100,13099809.0,219,13739409.0,319,0.9534477793040443,0.6865203761755486
01304d12,C5000,5000.0,1,511691.0,367,0.009771522266367788,0.0027247956403269754
01304d12,E1210,470791.0,340,511691.0,367,0.9200689478611115,0.9264305177111717
01304d12,J7120,3000.0,3,511691.0,367,0.005862913359820673,0.008174386920980926
